"nome","resumo","coordenador"
"O USO DA COLORAÇÃO TOTAL EQUILIBRADA PARA GERAÇÃO DE ALGORITMOS EM SISTEMAS MULTIAGENTES.","Nos trabalhos de pesquisa desenvolvidos pelo grupo ""matemática discreta e estruturas algébricas"" tem-se destacado o uso do produto funcional de grafos para gerar grafos combinatórios que são usados nas topologias de sistemas multiagentes e que não podem-se obter pelo produto cartesiano usual porém o produto funcional é de difícil implementação computacional o que dificulta seu usos prático o presente trabalho pretende simplificar as operações necessárias para obter o grafo produto.","Abel Rodolfo García Lozano"
"TÓPICOS DE ANALISE","Neste projeto desenvolveremos os principais tópicos da teoria da medida; medida de lebesgue medida de radon diferenciação de lebesgue teorema de riez assím com também do analise funcional; espaços vetorias topológicos teorema de baire teorema de hanh-banach.","Abraham Enrique Munoz Flores"
"AVALIAÇÃO DO PERFIL CROMATOGRÁFICO DO EXTRATO AQUOSO DAS FOLHAS PSIDIUM GUAJAVA. FORMULAÇÃO DE UM GEL CREMOSO NÃO IÔNICO I E BIOFILME COM O EXTRATO","As feridas são uma das principais causas de morbidade e de prejuízos na qualidade de vida além de demandar elevados recursos de cuidados a saúde nos países desenvolvidos tanto para os humanos quanto animais. O projeto tem como objetivo desenvolver um produto eficiente no processo de cicatrização com custo satisfatório e acessível a população carente o através do extrato aquoso das folhas psidium guajava.","Alaide De Sa Barreto"
"AUTOMAÇÃO DA PREVISÃO DE CARGA E MERCADO DE ENERGIA ELÉTRICA PARA DIFERENTES HORIZONTES DE PREVISÃO","Construção de metodologia e script r para automatizar previsões de mercado/carga/demanda máxima de energia elétrica para diferentes horizontes de tempo. Modelos de regressão dinâmica serão desenvolvidos para previsões anuais de médio/longo prazo por classes e 15 anos à frente. Estas são desagregadas por mês e fatores sazonais oriundos de modelos de holt-winters ou box & jenkins. Os modelos serão ajustados para o brasil e regiões e as previsões serão reconciliadas pelo método do traço mínimo.","Albert Cordeiro Geber De Melo"
"DESENVOLVIMENTO DE DETECTORES A GÁS DO TIPO RPC","Este projeto dará continuidade às minhas atividades de professor/pesquisador junto a meu grupo no departamento de física nuclear e altas energias do instituto de física da uerj. Um dos objetivos é fornecer suporte em estudos envolvendo detectores a gás do tipo rpc amplamente utilizados em experimentos de física de altas energias como o experimento cms.","Alberto Franco De Sá Santoro"
"DESENVOLVIMENTO DE SEMICONDUTORES EFICIENTES PARA CONVERSÃO DA RADIAÇÃO SOLAR EM DISPOSITIVOS FOTOVOLTAICOS","Este projeto visa o desenvolvimento de materiais capazes de interagir com a radiação solar para aplicação em células solares. Busca-se a obtenção de nanomateriais à base de titânio zinco e/ou cério com morfologia e composição finamente controladas e que apresentem band gap óptico adequado para absorção da radiação uv. Os materiais sintetizados ao longo do projeto serão extensivamente caracterizados por uma vasta gama de técnicas com intuito de aprimorá-los levando à aplicação desejada.","Alene Dutra Nascimento"
"INFLUÊNCIA DA VARIABILIDADE DA CORRENTE NORTE DO BRASIL E SUAS RETROFLEXÕES NO SISTEMA DE CORRENTES EQUATORIAIS DO ATLÂNTICO TROPICAL E SEU PAPEL NO TRANSPORTE INTER-HEMISFÉRICO DE ÁGUA DOCE","Estudo da dinâmica e variabilidade da corrente norte do brasil e suas retroflexões suas contribuições em transporte para a circulação do atlântico tropical e avaliação da troca inter-hemisférica de água doce por meio de estimativas de transporte e destino de águas de baixa salinidade com base nas saídas diárias do modelo oceânico regional roms.","Alessandro Lopes Aguiar"
"INFRAESTRUTURA PARA APLICAÇÕES CIENTES DE CONTEXTO PARA INTERNET DAS COISAS (PIBITI)","Neste projeto são aprofundados aspectos da internet das coisas: (i) protocolos de aplicação usados em iot; (ii) infraestrutura escalável utilizando técnicas de computação em fog (névoa) edge (borda) e cloud (nuvem) para obter uma qualidade aceitável para as aplicações iot com a escalabilidade; e (iii) aplicações cientes de contexto para iot que possam explorar os resultados obtidos utilizando a plataforma thingboard como concentrador da comunicação de agentes-sensores de software.","Alexandre Sztajnberg"
"DESENVOLVIMENTO DE MATERIAIS DIDÁTICOS IMPRESSOS EM 3D COMO FACILITADORES NO PROCESSO DE ENSINO-APRENDIZAGEM EM QUÍMICA GERAL E INORGÂNICA","O uso de recursos didáticos como facilitadores do processo de ensino-aprendizagem tem sido usado com bastante frequência nos últimos anos. é preciso acompanhar o desenvolvimento das novas tecnologias buscando sempre a inovação de metodologias de ensino que facilitem o processo de ensino-aprendizagem. Nesse contexto o objetivo desse projeto é desenvolver materiais didáticos por impressão 3d a fim de serem utilizados como ferramenta auxiliar para o ensino de química.","Ana Luisa Silva"
"INTERCONEXÕES ENTRE A MATEMÁTICA E A FÍSICA","O projeto visa explorar conceitos matemáticos avançados na modelagem e análise de fenômenos físicos diversos.","André Luiz Furtado"
"SOBRE A FÍSICA DO EFEITO CASIMIR DINÂMICO.","O efeito casimir dinâmico (ecd) consiste na criação de partículas e consequentemente em forças de reação à radiação sobre objetos cujos vínculos geométricos impostos a um campo quantizado variam no tempo. Esse fenômeno pode também ser obtido por meio das rápidas mudanças no tempo das propriedades materiais de um objeto estático. Neste projeto sob a perspectiva dos chamados modelos análogos investigaremos alguns aspectos fundamentais da física do ecd.","Andreson Luis Carvalho Rego"
"EMUSEU DO ESPORTE","O projeto em tela resume-se como uma proposta de desenvolver aplicativos tecnológicos nas várias áreas do conhecimento em plataformas de software livre disseminando e desenvolvendo uma cultura de tecnologia como ferramenta estratégica e inovadora onde a visão do pesquisador aluno empreendedor é a mola propulsora de todo o desenvolvimento.","Bianca Gama Pena"
